 Galaxy               theta_arcsec   d_kpc  z_gal   z_Lya  Wr_HI eWr_HI Wr_SiIII eWr_SiIII Wr_SiII eWr_SiII Wr_SiIV eWr_SiIV Wr_CII eWr_CII Wr_CIV eWr_CIV     
 SDSSJ105227.72-003624.2       1046.1 454.9 0.0215 -1.0       <=  26     <= 12    <= 15    nan nan   <= 18    <= 38
 SDSSJ145002.76+522422.5       9197.2 455.2 0.0024 -1.0       <=  81     <= 46    <= 38    <= 58    <= 68    <= 62
 2dFGRSN218Z179                8792.5 455.3 0.0025  0.0031    139   8 <=  8    <=  5    <=  9    <=  9    <= 17
 2MASXJ112219.81+574834.4       472.7 457.4 0.0495 -1.0       <=  56     <= 18    <= 18    nan nan   <= 42    nan nan
 SDSSJ091246.59+085620.1       5093.5 457.9 0.0044 -1.0       <= 100     nan nan   <= 40    <= 47    <= 38    <= 39
 SDSSJ133302.99+314900.7       2425.1 459.1 0.0092  0.0088    444  13  nan nan   <= 11    <= 18    <= 23    <= 39
 SDSSJ091458.38+281005.9        839.0 462.1 0.0274 -1.0       <=  28     <= 19    <= 30    <= 27    <= 28   nan nan
 2MASXJ105111.43+335934.9       403.6 465.3 0.0597  0.0593    280   7  nan nan   <=  9    <= 12    <=  6    <= 16
 SDSSJ110026.99+145200.9        865.3 466.3 0.0268  0.0269    326  15  nan nan <= 19    <= 23    <= 22    <= 37
 SDSSJ152855.84+283028.5        360.0 467.7 0.0679 -1.0       <=  21     <= 13    <= 10    <=  9    <= 15    <= 21
 SDSSJ105906.61+145904.0       1182.1 469.4 0.0196  0.018    1098  26  nan nan   nan nan  nan nan   <= 23    <= 24
 SDSSJ113431.78+033805.3       1155.8 469.6 0.0201  0.0189    176  20 <= 37     nan nan  <= 34    <= 36      nan nan
 SDSSJ100438.55+602758.2       3081.0 469.9 0.0074  0.0073    136  14   nan nan  nan nan   <= 20     nan nan  nan nan
 SDSSJ234510.55-005728.0        198.5 470.9 0.1336  0.1337    134  13 <= 19      nan nan  nan nan  nan nan    nan nan
 2MASXJ132645.78+443933.1       331.7 470.9 0.0748 -1.0       nan nan    nan nan   <= 42    <= 59    <= 84    <= 66
 2MASXJ134208.21+382440.0       377.4 474.3 0.0655 -1.0       <=  38     <= 21    <= 15    <= 20    <= 14    <= 30
 SDSSJ115217.86+543913.4        508.3 475.3 0.0477  0.0477    136   5   nan nan  nan nan   <=  8    <= 10    <= 17
 SDSSJ102945.54+504750.3        946.0 476.8 0.025  -1.0       nan nan   <=  9    <=  9    <= 14    <= 14    <= 30
 2MASXJ121056.34+315756.5       244.6 480.0 0.1073 -1.0       <=  33      nan nan   <= 18    <= 26     nan nan    <= 28
 SDSSJ081915.38+224214.1       3296.1 480.7 0.0071 -1.0       <=  30     nan nan   <= 15    <= 23    <= 26    <= 32
 SDSSJ025906.86+004306.4        565.2 481.5 0.0432 -1.0       <=  27     <= 18    <= 21     nan nan    <= 32     nan nan
 SDSSJ124623.33+481406.6       7756.2 481.7 0.0030  0.0038    226  12 <= 20    <= 14    <= 21   nan nan    <= 31
 SDSSJ100806.93+022042.2       3573.7 482.4 0.0066 -1.0       <=  27    nan nan    <= 13     nan nan   <= 18    <= 18
 SDSSJ112152.89+411347.8       3428.1 482.6 0.0068 -1.0       <=  15   nan nan   <=  5    nan nan  <= 15    <= 19
 SDSSJ161939.33+334736.1        411.6 482.6 0.0607 -1.0       nan nan <= 16    <= 20     nan nan  <= 19    <= 21
 2MASXJ152406.39+095443.2       350.1 483.2 0.0725 -1.0       nan nan <=  8    nan nan   nan nan  nan nan   <= 18
 SDSSJ110017.94+412609.1       2179.7 483.4 0.0108 -1.0       nan nan <= 21    nan nan   <= 23    <= 26      nan nan
 SDSSJ124440.73+340438.5        634.4 484.8 0.0386  0.0376    292  13   nan nan   <= 27    <= 22    <= 41       nan nan
 2MASXJ145739.38+263953.5      5518.0 485.0 0.0043 -1.0       <=  35     <= 28    <= 13     nan nan   <= 24    <= 23
 2dFGRSN280Z163                3903.9 486.0 0.0060  0.0068     58   7   nan nan    <=  5       nan nan nan nan   <=  9
 SDSSJ134252.05+051415.2        862.3 486.9 0.0281 -1.0       <=  23     <= 14    <= 15    <= 28    <= 39    <= 27
 SDSSJ124826.11+314318.5       8341.2 487.1 0.0028  0.0026    636  80   nan nan <= 27    <= 58    <= 33      nan nan
 SDSSJ115045.90+543935.2        323.9 488.6 0.0799 -1.0       <=  14     <=  8    <=  6    <=  9    <= 10    <= 16
 2MASXJ170522.10+604207.5       330.9 489.7 0.0783  0.0786     24   7 <= 11    <= 11    <= 28    <= 18    <= 17
 SDSSJ092155.18+453404.3       2513.8 489.8 0.0095  0.0103    220  14   nan nan   <= 10    <= 18     nan nan    <= 20
 SDSSJ091041.20+101601.8        200.6 489.8 0.1382  0.1375    239  31 <= 42    <= 38    <= 66      nan nan    <= 34
 2MASXJ110427.56+314455.9       345.8 490.1 0.0746 -1.0       nan nan     nan nan  <= 13   nan nan    <= 25      nan nan
 SDSSJ134158.58-010046.7        895.1 492.6 0.0274 -1.0       <=  32     <= 15    <= 19    <= 29    <= 21    <= 36
 SDSSJ040118.32-054025.5        458.6 493.9 0.0554  0.0555    219  25 <= 17    <= 16     nan nan   <= 28    <= 44
 SDSSJ025405.61-005236.6       7353.2 494.0 0.0032 -1.0       nan nan     <= 33     nan nan    <= 27   nan nan   <= 25
 SDSSJ100449.25+014148.2        803.5 495.0 0.0308  0.0323    781  33   nan nan   <=  5    <= 12    <= 19    <= 25
 SDSSJ100521.89+013147.0        268.1 495.7 0.1003  0.0998   1397  13 <= 12    <= 11    nan nan   nan nan     nan nan
 2MASXJ111730.29+263804.7       395.1 496.7 0.0655  0.0652    400  19 <= 24    <= 15    <= 32    <= 32    <= 38
 SDSSJ162000.84+333246.1        810.5 496.7 0.0306 -1.0       <=  17     nan nan  <= 21    <=  8     nan nan   <= 27
 SDSSJ111044.91+555252.8        515.0 497.6 0.0494 -1.0       <= 109     <= 58    <= 10  <= 12    <= 14    <= 27
 SDSSJ100849.00+071204.7        218.1 498.3 0.1279  0.1283    304  18 <= 31    <= 22    <= 42       nan nan  <= 43
 SDSSJ113343.02+334037.9       9004.6 498.9 0.0027 -1.0       <=  18     <= 10    <=  6    <= 12    <=  9    <= 10
